time_s,drag_force_negative,drag_force_magnitude
8.33,-1.772929,1.772929
8.34,-1.772451,1.772451
8.35,-1.772016,1.772016
8.36,-1.771653,1.771653
8.37,-1.771274,1.771274
8.38,-1.770838,1.770838
8.39,-1.77044,1.77044
8.4,-1.770068,1.770068
8.41,-1.769672,1.769672
8.42,-1.769265,1.769265
8.43,-1.768916,1.768916
8.44,-1.768615,1.768615
8.45,-1.768285,1.768285
8.46,-1.767918,1.767918
8.47,-1.767542,1.767542
8.48,-1.7672,1.7672
8.49,-1.7669,1.7669
8.5,-1.766578,1.766578
8.51,-1.766257,1.766257
8.52,-1.766003,1.766003
8.53,-1.765828,1.765828
8.54,-1.765684,1.765684
8.55,-1.765567,1.765567
8.56,-1.765455,1.765455
8.57,-1.765423,1.765423
8.58,-1.765413,1.765413
8.59,-1.765438,1.765438
8.6,-1.765569,1.765569
8.61,-1.765783,1.765783
8.62,-1.766017,1.766017
8.63,-1.766304,1.766304
8.64,-1.766648,1.766648
8.65,-1.767071,1.767071
8.66,-1.76758,1.76758
8.67,-1.768044,1.768044
8.68,-1.768479,1.768479
8.69,-1.768986,1.768986
8.7,-1.76961,1.76961
8.71,-1.770327,1.770327
8.72,-1.771082,1.771082
8.73,-1.771911,1.771911
8.74,-1.772767,1.772767
8.75,-1.773574,1.773574
8.76,-1.774298,1.774298
8.77,-1.775072,1.775072
8.78,-1.77582,1.77582
8.79,-1.77659,1.77659
8.8,-1.777405,1.777405
8.81,-1.778279,1.778279
8.82,-1.779105,1.779105
8.83,-1.779977,1.779977
8.84,-1.780823,1.780823
8.85,-1.781658,1.781658
8.86,-1.78247,1.78247
8.87,-1.783236,1.783236
8.88,-1.783954,1.783954
8.89,-1.784699,1.784699
8.9,-1.785446,1.785446
8.91,-1.786187,1.786187
8.92,-1.78688,1.78688
8.93,-1.787566,1.787566
8.94,-1.788215,1.788215
8.95,-1.788832,1.788832
8.96,-1.789459,1.789459
8.97,-1.79005,1.79005
8.98,-1.790612,1.790612
8.99,-1.791124,1.791124
9.0,-1.791583,1.791583
9.01,-1.792013,1.792013
9.02,-1.792401,1.792401
9.03,-1.792697,1.792697
9.04,-1.792968,1.792968
9.05,-1.793155,1.793155
9.06,-1.793341,1.793341
9.07,-1.79351,1.79351
9.08,-1.7937,1.7937
9.09,-1.793848,1.793848
9.1,-1.793954,1.793954
9.11,-1.793984,1.793984
9.12,-1.794019,1.794019
9.13,-1.793999,1.793999
9.14,-1.793946,1.793946
9.15,-1.793887,1.793887
9.16,-1.793817,1.793817
9.17,-1.793717,1.793717
9.18,-1.793609,1.793609
9.19,-1.793502,1.793502
9.2,-1.793458,1.793458
9.21,-1.7935,1.7935
9.22,-1.793527,1.793527
9.23,-1.79355,1.79355
9.24,-1.793565,1.793565
9.25,-1.793542,1.793542
